model,term,auroc,auprc,n_pos,variant,is_fallback,control,library
BulkFormer_37M,protein phosphorylation (GO:0006468),0.6493297088590692,0.0627712265990661,449,osdr_common,False,real,GO-BP
BulkFormer_37M,positive regulation of intracellular signal transduction (GO:1902533),0.6324073888281925,0.0561603023741433,446,osdr_common,False,real,GO-BP
BulkFormer_37M,negative regulation of cellular macromolecule biosynthetic process (GO:2000113),0.6172487040624841,0.0508580155658869,441,osdr_common,False,real,GO-BP
BulkFormer_37M,positive regulation of nucleic acid-templated transcription (GO:1903508),0.6325338697038364,0.0554856999265745,436,osdr_common,False,real,GO-BP
BulkFormer_37M,cytokine-mediated signaling pathway (GO:0019221),0.7282815375480481,0.0971858880535866,431,osdr_common,False,real,GO-BP
BulkFormer_37M,protein ubiquitination (GO:0016567),0.6608844061184684,0.0554678756034237,420,osdr_common,False,real,GO-BP
BulkFormer_37M,positive regulation of gene expression (GO:0010628),0.6154752411590502,0.0457768731209661,397,osdr_common,False,real,GO-BP
BulkFormer_37M,negative regulation of apoptotic process (GO:0043066),0.675377557292124,0.0640655707436354,392,osdr_common,False,real,GO-BP
BulkFormer_37M,positive regulation of cell population proliferation (GO:0008284),0.641756687644546,0.0537331294584349,391,osdr_common,False,real,GO-BP
BulkFormer_37M,regulation of intracellular signal transduction (GO:1902531),0.5975356978350992,0.0384377118249248,382,osdr_common,False,real,GO-BP
BulkFormer_37M,nervous system development (GO:0007399),0.6841776427597276,0.0590820696475584,381,osdr_common,False,real,GO-BP
BulkFormer_37M,negative regulation of nucleic acid-templated transcription (GO:1903507),0.6117118818193261,0.0414959982437193,378,osdr_common,False,real,GO-BP
BulkFormer_37M,neutrophil mediated immunity (GO:0002446),0.811627238255116,0.1282121259596836,362,osdr_common,False,real,GO-BP
BulkFormer_37M,transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),0.6530839812678093,0.0494612719178048,361,osdr_common,False,real,GO-BP
BulkFormer_37M,neutrophil activation involved in immune response (GO:0002283),0.8110694188670899,0.1296632694510429,359,osdr_common,False,real,GO-BP
BulkFormer_37M,phosphorylation (GO:0016310),0.6629377769215952,0.0586357931640254,358,osdr_common,False,real,GO-BP
BulkFormer_37M,neutrophil degranulation (GO:0043312),0.8114228479341062,0.1308712347100199,356,osdr_common,False,real,GO-BP
