gene_symbol,importance
CDK5,0.001708106198759453
ZC3H12B,0.0017078199767645741
KCTD12,0.0016837017240345536
SVEP1,0.0016683625874821801
AOC3,0.0016675833993021276
MYOC,0.0016518960406309347
PYGM,0.0016486269156094438
PTH1R,0.00164170933662026
SLC50A1,0.0016335079664923967
SOSTDC1,0.0016318288103975647
IRX2,0.0016310347725044967
RFC2,0.0016270498791152316
MCOLN3,0.0016210707302206063
CASQ2,0.0016183998066071415
RAD51AP1,0.0016141518210231699
ACADL,0.0016021804781088536
POP7,0.0016006839676910303
FEN1,0.0015972739257596514
GINS1,0.0015910474130800092
FABP4,0.0015857544101846369
ANGPT1,0.001572584600326086
CDCA2,0.0015500147465193998
DTL,0.0015460649489454597
COL23A1,0.0015338611889803295
DTYMK,0.001531550867196598
P3H4,0.0015313404362213632
C1QTNF6,0.001525846831847631
TERT,0.001524989223472635
DEPDC1B,0.0015184123756706736
DLGAP2,0.0015124182653542735
KLF9,0.001509961514641188
POLR2H,0.0015041686384177353
KIF18A,0.0014992151262468306
GCNT4,0.0014969274682883628
GPR17,0.0014914256471626986
SPAG4,0.0014879863388200312
CHPF,0.0014828852363267515
CAMK2N2,0.0014652627323666918
TRHDE,0.0014650327212767692
KREMEN2,0.0014641961418638938
ELF5,0.0014562068984095193
SEMA5B,0.0014535208659768152
MAOA,0.0014528624011984966
FGD5,0.00144067199452055
PFDN6,0.0014289869427106987
CMTM5,0.0014259960031080049
PSMD4,0.0014216333226436076
ERBB4,0.0014215622029881585
HIF3A,0.00141705650356478
CDK5R1,0.0013976610099703727
FASTK,0.0013804217687356873
SLIT2,0.0013745847383420029
DPP6,0.001369946441328268
MYBL2,0.0013594970168326341
HACL1,0.0013517281453110117
AKT1S1,0.0013481504275731765
CRY2,0.001345263008292498
PLPPR1,0.0013382661645044314
CAVIN2,0.001329692408348965
SF3B4,0.0013190391829438852
HNRNPAB,0.0012717147643232613
FGF1,0.0012690240225686667
GNG11,0.00125609031226469
MSRA,0.001215895966226065
MAPK4,0.0011682980650951317
FAM184A,0.0011533781851942619
