benchmark,metric,models_available,status,ESM2_PCA512_prior,Txn_Jatin,Txn_Jatin_contextual,BRIDGE,scGPT,Geneformer,BulkFormer_37M,BulkFormer_50M,BulkFormer_93M,BulkFormer_127M,BulkFormer_147M
OMIM intersect,AUPRC,11/11,complete,0.29711402048042124,0.3168514183936495,0.29561278702941013,0.41659944523006026,0.40886440805655044,0.3924345593702637,0.24688811367768176,0.25385597067477683,0.23644218695220787,0.2505906784302145,0.2555214182356847
OMIM intersect,PR@10,11/11,complete,0.2456310679611651,0.25339805825242717,0.24466019417475732,0.337864077669903,0.33883495145631076,0.3262135922330098,0.21650485436893208,0.20388349514563112,0.1932038834951457,0.20291262135922336,0.19708737864077672
Temporal GO,AUROC,11/11,complete,0.585779167491378,0.5849635913608008,0.5866119349806339,0.5523621141503279,0.5980042896169137,0.5965706144401303,0.5466217802460656,0.5578416168281145,0.5342011797726782,0.5480585729922866,0.5442600480314316
Temporal GO,AUPRC,11/11,complete,0.2239505075817196,0.2114400522085013,0.20576937679249666,0.18855285913168107,0.2116057081771042,0.17388341438799362,0.1401124852674252,0.14631498422324207,0.1377535154251193,0.14360508397581392,0.1318251441058804
Temporal GO,PR@10,11/11,complete,0.16842105263157894,0.1736842105263158,0.16842105263157894,0.13684210526315793,0.1631578947368421,0.16842105263157894,0.1105263157894737,0.12105263157894738,0.10526315789473684,0.12105263157894738,0.1368421052631579
NG all_genes concat,AUROC,11/11,complete,0.7144870187651179,0.7207535297076632,0.695106375170453,0.567508602006488,0.6248456107038157,0.5722993312268214,0.5816303553983445,0.5501426756091815,0.4935429338754842,0.5369766247022812,0.5995464354661129
NG all_genes concat,AUPRC,11/11,complete,0.32728494494487,0.3322449938167975,0.279502295035177,0.1304611828502848,0.1661005999746636,0.161889067907944,0.1419606820476924,0.1124783723622014,0.0989743792554414,0.1093171801148884,0.133889297821551
NG all_genes concat,PR@10,11/11,complete,0.6666666666666666,0.8000000000000002,0.6333333333333334,0.3666666666666667,0.1666666666666666,0.4333333333333334,0.1666666666666666,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.2
NG all_genes product,AUROC,11/11,complete,0.6247316117082647,0.6285807314346289,0.6178293401291792,0.5173402023568935,0.5481865224012346,0.5711366336840623,0.5292899728491224,0.5466311419378636,0.5053942326051959,0.5308555538363372,0.6169845843156287
NG all_genes product,AUPRC,11/11,complete,0.2391944227331891,0.2417191542512489,0.2385974693525511,0.1397463259703122,0.1825596537144241,0.1816618299957375,0.1184791828809988,0.1190483402215063,0.1018958358381307,0.1092229849949072,0.1351370673617439
NG all_genes product,PR@10,11/11,complete,0.9,0.9333333333333332,0.8666666666666667,0.5333333333333333,0.8666666666666667,1.0,0.1333333333333333,0.2666666666666666,0.0666666666666666,0.2,0.1666666666666666
NG all_genes sum,AUROC,11/11,complete,0.7273721567782622,0.7286213852955887,0.6933674806696977,0.5458268815728933,0.6420347627702548,0.6235342320985371,0.5067873149787891,0.5065965849178515,0.494378115747087,0.5415446189707004,0.555930289896377
NG all_genes sum,AUPRC,11/11,complete,0.3285365878095896,0.3386522658777937,0.2616899754884133,0.1354042213489454,0.216989484590142,0.1916871674767885,0.1106057004349837,0.1020480162205024,0.0972212766724326,0.1159738454486816,0.1221958275865513
NG all_genes sum,PR@10,11/11,complete,0.6,0.7333333333333334,0.7000000000000001,0.5333333333333333,0.8666666666666667,0.7666666666666666,0.2333333333333333,0.0333333333333333,0.1,0.1999999999999999,0.2
