index,model,panel,gene_symbol,mean,std
10550,BulkFormer_37M,2_cancer,RHOB,0.0029386875338204,0.005089956116146216
11301,BulkFormer_37M,2_cancer,SFTPD,0.002938246049779767,0.0026609918936763423
4327,BulkFormer_37M,2_cancer,FERMT1,0.0029225467699941668,0.002946917192584237
823,BulkFormer_37M,2_cancer,ARHGEF15,0.002920316230412967,0.002868270491044214
12752,BulkFormer_37M,2_cancer,TEDC2,0.0029103093059656333,0.00024204794968337947
3165,BulkFormer_37M,2_cancer,DEPDC1B,0.002901731378755167,0.00014431788362913843
7487,BulkFormer_37M,2_cancer,MMRN2,0.0028926701269716333,0.0026786195873256535
29,BulkFormer_37M,2_cancer,ABCA3,0.0028591766540167107,0.0028661293186544767
3959,BulkFormer_37M,2_cancer,ERO1A,0.0028272690095585,0.004682260750117027
4055,BulkFormer_37M,2_cancer,EZH2,0.0028165341788524666,0.0028919003595914003
2442,BulkFormer_37M,2_cancer,CLSPN,0.0027979311203487,0.004846158856522059
14266,BulkFormer_37M,2_cancer,WWC2,0.0027932219549324667,0.002715476748351126
8662,BulkFormer_37M,2_cancer,OSCAR,0.0027640211007248783,0.002695114115546544
14107,BulkFormer_37M,2_cancer,VSIR,0.0027631226830306336,0.002820944310889013
10559,BulkFormer_37M,2_cancer,RHOJ,0.002742448667466733,0.0026864711338526344
2219,BulkFormer_37M,2_cancer,CHAF1B,0.0027229752105376996,0.00016069156854156802
2978,BulkFormer_37M,2_cancer,CYP4B1,0.0026989621648284994,0.0027334829967914378
13522,BulkFormer_37M,2_cancer,TROAP,0.002626056027277567,0.00011467590258123556
213,BulkFormer_37M,2_cancer,ACVRL1,0.0025924035022717663,0.0039124611875306255
1971,BulkFormer_37M,2_cancer,CDC45,0.0025418206488705,0.0001149016008438641
9315,BulkFormer_37M,2_cancer,PKMYT1,0.0024630202097562334,0.002498017184586146
5850,BulkFormer_37M,2_cancer,IL33,0.0024539877396237,0.004250431446179354
4886,BulkFormer_37M,2_cancer,GLIPR2,0.0024357558219489715,0.0041705447187445925
6599,BulkFormer_37M,2_cancer,LDB2,0.0024277110845452,0.0015339682759199164
11092,BulkFormer_37M,2_cancer,SCUBE1,0.0023797248962025004,0.0021332139370075515
3632,BulkFormer_37M,2_cancer,EDNRB,0.0023349797543617,0.0016792047795678175
12705,BulkFormer_37M,2_cancer,TCF21,0.0022960788457024334,0.001734982286728774
3386,BulkFormer_37M,2_cancer,DNASE1L3,0.002263381985181901,0.0038676707893372
11311,BulkFormer_37M,2_cancer,SGCG,0.0022343972944104586,0.0035946957995296983
8079,BulkFormer_37M,2_cancer,NECTIN4,0.0022262346352914333,0.0012428088954010389
6874,BulkFormer_37M,2_cancer,LRRK2,0.0022164994443444664,0.0014877473491117109
563,BulkFormer_37M,2_cancer,ANGPT4,0.0022138091567931,0.0016066421145992994
10725,BulkFormer_37M,2_cancer,ROBO4,0.0021987212045489336,0.003436041801321772
12986,BulkFormer_37M,2_cancer,TM6SF1,0.0021814748623913,0.0037784252970960567
7336,BulkFormer_37M,2_cancer,MEX3A,0.0021717279880203665,0.0014819372957459844
762,BulkFormer_37M,2_cancer,AREG,0.0021619812314860667,0.0037446613379441976
11618,BulkFormer_37M,2_cancer,SLC2A1,0.0021606513424587,0.00194557681127855
6768,BulkFormer_37M,2_cancer,LPL,0.0021461838582018332,0.003573628854446547
14298,BulkFormer_37M,2_cancer,XRCC2,0.0021432169671383,0.0016752984970776655
13905,BulkFormer_37M,2_cancer,UPK3B,0.0021291465520131667,0.003156090486549946
5441,BulkFormer_37M,2_cancer,HIGD1B,0.0021268045625576003,0.0016732061609706157
13391,BulkFormer_37M,2_cancer,TRAF4,0.0021259686135109666,0.0028861388946414238
11249,BulkFormer_37M,2_cancer,SERPING1,0.002085485297396607,0.003317057960505492
14035,BulkFormer_37M,2_cancer,VEGFD,0.0020801893068555003,0.0016948666348309525
