gene_symbol,discovery_variance,discovery_detection_rate,panel_score,excluded_signature_gene
MCIDAS,0.6582249,0.4819227608874281,0.4569440362687625,False
B2M,0.45686254,1.0,0.45686253905296326,True
MTSS2,0.45809448,0.9942481511914544,0.45677513266159697,False
ZHX2,0.45695272,0.9987674609695973,0.4566710280226186,False
SSH3,0.45663103,0.9991783073130649,0.4564433908674764,False
HHIPL2,0.8764753,0.27115858668857845,0.45640600508977136,False
TRAF5,0.4572973,0.995480690221857,0.4562627911280104,False
OLIG1,0.92572224,0.242810188989318,0.45615679828156924,False
WDR86,0.5814446,0.6154478225143796,0.4561461114780147,False
TCIRG1,0.4560083,1.0,0.45600828528404236,False
ECEL1,0.7355574,0.3841413311421528,0.45589210797750124,False
LXN,0.45585477,0.9991783073130649,0.4556674487658163,True
PITPNM3,0.5637229,0.6532456861133936,0.45562123739650723,False
CASD1,0.45570588,0.9995891536565324,0.4556122589542284,False
TMTC3,0.45672682,0.9950698438783895,0.4555995609081806,False
C1RL,0.456224,0.9963023829087921,0.4553797425208547,False
PAK1,0.45532447,0.9995891536565324,0.4552309271908368,True
TSPAN9,0.45511153,1.0,0.4551115334033966,False
UBE2L6,0.45507717,1.0,0.4550771713256836,True
KCNA3,0.5897614,0.594494658997535,0.45472654342712043,True
NUDT1,0.45453808,1.0,0.4545380771160126,False
MBNL3,0.47017208,0.934264585045193,0.4544559322831809,False
LYPLA1,0.45443988,1.0,0.4544398784637451,False
SUCO,0.45438457,1.0,0.45438456535339355,False
CANT1,0.45437956,1.0,0.4543795585632324,True
PARP8,0.45977968,0.9765817584223501,0.45436417071652213,False
FARP2,0.45473373,0.9983566146261298,0.45435992434299427,False
CENPN,0.4572472,0.9872637633525062,0.4543260624979952,False
HDAC11,0.45402443,0.9995891536565324,0.45393115736878115,False
WASF3,0.50730914,0.8003286770747741,0.45384428937877996,False
GPR3,0.5222562,0.7551355792933443,0.45383299512942293,False
GNB4,0.45375913,1.0,0.4537591338157654,False
NCAM1,0.7700723,0.34716516023007393,0.45373215602624983,False
PSTPIP1,0.47872907,0.8981101068200493,0.4536851782468635,False
LPIN3,0.45477238,0.9930156121610517,0.4531814468277404,False
HRC,0.6068047,0.557518488085456,0.45308386152056535,False
POLB,0.4528321,1.0,0.45283210277557373,True
ACAP1,0.46193433,0.9609695973705834,0.4528298647715661,False
LPCAT2,0.45336363,0.9975349219391948,0.4528044940405426,False
CDHR3,0.59419894,0.5805258833196385,0.45273353857958937,False
PHKA2,0.4530077,0.9987674609695973,0.45272843714809224,False
SHTN1,0.45285428,0.9991783073130649,0.4526681839447184,False
ERLIN2,0.45260292,1.0,0.45260292291641235,False
PRRG1,0.46607277,0.9428923582580115,0.45256898332454737,False
MAPK4,0.8530483,0.28142974527526704,0.4525417303913973,False
DNAH11,0.7605535,0.35373870172555466,0.4523463039956992,False
ALDH7A1,0.45755073,0.9769926047658176,0.4522565806236167,False
IFI35,0.45224443,1.0,0.45224443078041077,True
STOM,0.45204937,1.0,0.4520493745803833,False
ARID5B,0.45205382,0.9995891536565324,0.4519609432579246,True
SNX7,0.4522644,0.9983566146261298,0.4518926231824685,False
JPH2,0.6335888,0.5086277732128184,0.45186376930112804,False
SEC14L4,0.72856104,0.3841413311421528,0.45155584085426936,False
C1QL4,0.8425637,0.28718159408381266,0.45152420819032113,False
LPXN,0.4512146,1.0,0.45121461153030396,False
ADAM15,0.45116484,1.0,0.4511648416519165,False
TRIM17,0.60243666,0.5608052588331964,0.45114633336478993,False
MYO1D,0.4510774,1.0,0.451077401638031,False
PARP14,0.45100957,0.9995891536565324,0.45091691421764657,True
RIN1,0.460636,0.9580936729663106,0.45088091510245537,False
TBXA2R,0.46399993,0.9437140509449465,0.45075247799623097,False
IDH1,0.45050836,1.0,0.45050835609436035,False
RELL1,0.45045313,1.0,0.45045313239097595,False
GRK3,0.45146838,0.995480690221857,0.4504470603574119,False
CCNG1,0.4504161,1.0,0.45041608810424805,False
TEF,0.45024797,1.0,0.45024797320365906,False
ENDOD1,0.45023915,1.0,0.4502391517162323,False
SLC50A1,0.45012707,1.0,0.4501270651817322,False
GPR157,0.45062706,0.9975349219391948,0.4500713005982383,False
CCDC186,0.45361128,0.9843878389482333,0.45005642895530523,False
SPAG1,0.4546293,0.9798685291700904,0.45002985767336284,False
ARHGAP25,0.4516042,0.9926047658175843,0.44993122940767205,False
GOLIM4,0.44983983,0.9995891536565324,0.4497474133805533,False
SLC25A35,0.45238024,0.9880854560394412,0.4496772123743682,False
THPO,0.6949757,0.41865242399342645,0.4496725825340121,False
ITM2B,0.4496391,1.0,0.44963911175727844,False
PHETA2,0.44969139,0.9991783073130649,0.4495065930011517,False
ADAMTSL5,0.5388067,0.6959737058340181,0.449499677925337,False
FAM78A,0.45336267,0.9827444535743632,0.4494341422060077,False
SH3BP5,0.45999905,0.9535743631881676,0.4491942852760983,False
SLC35G1,0.48581567,0.8541495480690222,0.44899187313039013,False
ZBTB12,0.45100877,0.9905505341002465,0.4488728130252309,False
CEMIP2,0.44895792,0.9995891536565324,0.4488656842398841,False
TMEM52B,0.6487132,0.4786359901396878,0.44880262838604884,False
PRKD3,0.44914663,0.9983566146261298,0.44877741612804456,False
RAPGEF3,0.47666746,0.8861955628594905,0.44872502931325825,False
IFNLR1,0.46684983,0.9231717337715695,0.4485578461428516,False
OSBPL1A,0.448677,0.9991783073130649,0.44849262819467867,False
FAM110D,0.50760394,0.780608052588332,0.4484783687960194,False
KLF8,0.49485937,0.8208709942481512,0.44835214392295075,False
CEP170B,0.44840172,0.9995891536565324,0.4483095977654211,False
MED13L,0.44900098,0.9963023829087921,0.44817009878774877,False
TMEM268,0.44809133,1.0,0.4480913281440735,False
ITGB5,0.4479858,1.0,0.44798579812049866,True
TTC28,0.4516781,0.9835661462612982,0.4479513165840604,False
TBXAS1,0.44905475,0.9946589975349219,0.4478539410377261,False
FAXC,0.5205341,0.7399342645850452,0.4477604735117843,False
TNFRSF9,0.5587467,0.6417419884963024,0.44760527447684834,True
PSMB8,0.44753894,1.0,0.44753894209861755,True
P3H4,0.44752312,1.0,0.4475231170654297,False
DSEL,0.5238701,0.7296631059983566,0.4474915245100265,False
