analysis,method,held_out_cohort,C,inner_macro_auroc,inner_folds,selected
melanoma_loco,raw_common_topvar,Gide,10.0,0.4903455284552845,2,False
melanoma_loco,raw_common_topvar,Hugo,0.01,0.6476718403547672,2,True
melanoma_loco,raw_common_topvar,Hugo,0.1,0.6319752402069474,2,False
melanoma_loco,raw_common_topvar,Hugo,1.0,0.6320121951219513,2,False
melanoma_loco,raw_common_topvar,Hugo,10.0,0.6295269770879526,2,False
melanoma_loco,raw_common_topvar,Riaz,0.01,0.513095238095238,2,True
melanoma_loco,raw_common_topvar,Riaz,0.1,0.47732683982683977,2,False
melanoma_loco,raw_common_topvar,Riaz,1.0,0.46899350649350646,2,False
melanoma_loco,raw_common_topvar,Riaz,10.0,0.4640692640692641,2,False
melanoma_loco,hallmark_common,Gide,0.01,0.4366724738675958,2,True
melanoma_loco,hallmark_common,Gide,0.1,0.4109610917537747,2,False
melanoma_loco,hallmark_common,Gide,1.0,0.3696864111498258,2,False
melanoma_loco,hallmark_common,Gide,10.0,0.35178571428571426,2,False
melanoma_loco,hallmark_common,Hugo,0.01,0.6545454545454545,2,True
melanoma_loco,hallmark_common,Hugo,0.1,0.6020694752402069,2,False
melanoma_loco,hallmark_common,Hugo,1.0,0.4804231337767923,2,False
melanoma_loco,hallmark_common,Hugo,10.0,0.4290650406504065,2,False
melanoma_loco,hallmark_common,Riaz,0.01,0.6103896103896104,2,True
melanoma_loco,hallmark_common,Riaz,0.1,0.5762987012987013,2,False
melanoma_loco,hallmark_common,Riaz,1.0,0.5659632034632034,2,False
melanoma_loco,hallmark_common,Riaz,10.0,0.5462662337662337,2,False
melanoma_loco,txn_completed_topvar,Gide,0.01,0.44799651567944254,2,False
melanoma_loco,txn_completed_topvar,Gide,0.1,0.4646341463414634,2,False
melanoma_loco,txn_completed_topvar,Gide,1.0,0.46517131242740994,2,True
melanoma_loco,txn_completed_topvar,Gide,10.0,0.45448606271777003,2,False
melanoma_loco,txn_completed_topvar,Hugo,0.01,0.6528455284552845,2,True
melanoma_loco,txn_completed_topvar,Hugo,0.1,0.6398835920177384,2,False
melanoma_loco,txn_completed_topvar,Hugo,1.0,0.6335273466371028,2,False
melanoma_loco,txn_completed_topvar,Hugo,10.0,0.6259515890613452,2,False
melanoma_loco,txn_completed_topvar,Riaz,0.01,0.512987012987013,2,True
melanoma_loco,txn_completed_topvar,Riaz,0.1,0.47505411255411256,2,False
melanoma_loco,txn_completed_topvar,Riaz,1.0,0.4719155844155844,2,False
melanoma_loco,txn_completed_topvar,Riaz,10.0,0.46217532467532463,2,False
melanoma_loco,txn_completed_hallmark,Gide,0.01,0.43789198606271773,2,True
melanoma_loco,txn_completed_hallmark,Gide,0.1,0.40974157955865276,2,False
melanoma_loco,txn_completed_hallmark,Gide,1.0,0.3763211382113821,2,False
melanoma_loco,txn_completed_hallmark,Gide,10.0,0.3584204413472706,2,False
melanoma_loco,txn_completed_hallmark,Hugo,0.01,0.6553030303030303,2,True
melanoma_loco,txn_completed_hallmark,Hugo,0.1,0.6098946784922394,2,False
melanoma_loco,txn_completed_hallmark,Hugo,1.0,0.47373429416112345,2,False
melanoma_loco,txn_completed_hallmark,Hugo,10.0,0.4383961566888396,2,False
melanoma_loco,txn_completed_hallmark,Riaz,0.01,0.607034632034632,2,True
melanoma_loco,txn_completed_hallmark,Riaz,0.1,0.5804112554112554,2,False
melanoma_loco,txn_completed_hallmark,Riaz,1.0,0.5782467532467532,2,False
melanoma_loco,txn_completed_hallmark,Riaz,10.0,0.5589826839826839,2,False
