pathway,cohort,responders,nonresponders,mean_responder,mean_nonresponder,hedges_g,variance,auc_responder_higher,p_value,q_value_within_cohort
IL-6/JAK/STAT3 Signaling,Hugo,14,12,1.6213047242857144,1.4303653775000003,0.2734168383104366,0.15631933741756468,0.6071428571428571,0.3680655063054846,0.40007120250596157
IL-6/JAK/STAT3 Signaling,Rose,16,73,3.2826267062500003,3.245811282191781,0.11562634051651598,0.07627546606009689,0.5393835616438356,0.6268695058512974,0.9957375828846027
DNA Repair,Gide,40,33,2.8098400574999998,2.7294798939393936,0.17210911492212894,0.05551163274978579,0.5295454545454545,0.669579324324035,0.7278036133956902
DNA Repair,Riaz,10,41,3.71071777,3.759045768292683,-0.22460220983489387,0.12490500056226267,0.47073170731707314,0.784982574107945,0.9905355168228513
DNA Repair,Hugo,14,12,2.3023534357142856,1.9284262250000002,0.41634016209261004,0.15837313664880687,0.6904761904761905,0.1051925051200414,0.3968973029077809
DNA Repair,Rose,16,73,3.7610912125,3.7351957616438356,0.1764366174473543,0.07637753749317172,0.5453767123287672,0.5748465059268126,0.9911146653910563
G2-M Checkpoint,Gide,40,33,2.86730894,2.755958921212121,0.22149025539224265,0.055648508706084676,0.5378787878787878,0.5832477354324594,0.7278036133956902
G2-M Checkpoint,Riaz,10,41,3.50376226,3.4365777536585367,0.1641457346785384,0.12466518086379777,0.5878048780487805,0.3996650101539535,0.9905355168228513
G2-M Checkpoint,Hugo,14,12,1.8934177785714286,1.630686500833333,0.29751979525195443,0.1566060303570457,0.6130952380952381,0.3413316805006916,0.3968973029077809
G2-M Checkpoint,Rose,16,73,3.8774789125,3.744886989041096,0.45540082297785417,0.07739052616899152,0.6532534246575342,0.05650041844281335,0.47083682035677793
Apoptosis,Gide,40,33,2.862601185,2.6782788827272728,0.4021227047259668,0.05644178149779176,0.6212121212121212,0.0770838923681547,0.42824384648974834
Apoptosis,Riaz,10,41,3.61364236,3.5794461,0.11636230932721328,0.12452840907623455,0.5317073170731708,0.7668053400963016,0.9905355168228513
Apoptosis,Hugo,14,12,2.19058235,1.9363689583333334,0.3195239567638313,0.15688889557328006,0.6488095238095238,0.2076174111548459,0.3968973029077809
