cohort	evaluation_sample_id	archive_accession	present_in_archs4_pretraining_metadata
Rose	UCC_Rose_RS.03238990	GSM5362538	False
Rose	UCC_Rose_RS.03238991	GSM5362491	False
Rose	UCC_Rose_RS.03238992	GSM5362520	False
Rose	UCC_Rose_RS.03238993	GSM5362472	False
Rose	UCC_Rose_RS.03238994	GSM5362539	False
Rose	UCC_Rose_RS.03238995	GSM5362517	False
Rose	UCC_Rose_RS.03238996	GSM5362480	False
Rose	UCC_Rose_RS.03238997	GSM5362551	False
Gide	1_ipiPD1_PRE	ERR2208888	False
Gide	2_ipiPD1_PRE	ERR2208898	False
Gide	6_ipiPD1_PRE	ERR2208924	False
Gide	7_ipiPD1_PRE	ERR3262562	False
Gide	8_ipiPD1_PRE	ERR2208926	False
Gide	10_ipiPD1_PRE	ERR2208889	False
Gide	12_ipiPD1_PRE	ERR2208890	False
Gide	13_ipiPD1_PRE	ERR2208892	False
Gide	14_ipiPD1_PRE	ERR2208893	False
Gide	15_ipiPD1_PRE	ERR2208894	False
Gide	17_ipiPD1_PRE	ERR2208895	False
Gide	19_ipiPD1_PRE	ERR2208897	False
Gide	20_ipiPD1_PRE	ERR2208899	False
Gide	21_ipiPD1_PRE	ERR2208900	False
Gide	23_ipiPD1_PRE	ERR2208901	False
Gide	24_ipiPD1_PRE	ERR2208902	False
Gide	25_ipiPD1_PRE	ERR2208903	False
Gide	26_ipiPD1_PRE	ERR2208904	False
Gide	27_ipiPD1_PRE	ERR2208906	False
Gide	32_ipiPD1_PRE	ERR2208907	False
Gide	33_ipiPD1_PRE	ERR2208909	False
Gide	34_ipiPD1_PRE	ERR2208910	False
Gide	35_ipiPD1_PRE	ERR2208912	False
Gide	36_ipiPD1_PRE	ERR2208914	False
Gide	37_ipiPD1_PRE	ERR2208915	False
Gide	38_ipiPD1_PRE	ERR2208916	False
Gide	44_ipiPD1_PRE	ERR2208918	False
Gide	45_ipiPD1_PRE	ERR2208919	False
Gide	46_ipiPD1_PRE	ERR2208920	False
Gide	47_ipiPD1_PRE	ERR2208921	False
Gide	49_ipiPD1_PRE	ERR2208922	False
Gide	50_ipiPD1_PRE	ERR2208923	False
Gide	2_PD1_PRE	ERR2208941	False
Gide	3_PD1_PRE	ERR2208949	False
Gide	4_PD1_PRE	ERR3262564	False
Gide	5_PD1_PRE	ERR2208968	False
Gide	6_PD1_PRE	ERR2208973	False
Gide	7_PD1_PRE	ERR2208974	False
Gide	8_PD1_PRE	ERR3262565	False
Gide	9_PD1_PRE	ERR2208977	False
Gide	10_PD1_PRE	ERR2208929	False
Gide	11_PD1_PRE	ERR2208930	False
Gide	12_PD1_PRE	ERR2208931	False
Gide	13_PD1_PRE	ERR2208933	False
Gide	14_PD1_PRE	ERR2208934	False
Gide	15_PD1_PRE	ERR2208935	False
Gide	16_PD1_PRE	ERR2208936	False
Gide	17_PD1_PRE	ERR2208938	False
Gide	18_PD1_PRE	ERR2208939	False
Gide	19_PD1_PRE	ERR2208940	False
Gide	21_PD1_PRE	ERR2208942	False
Gide	23_PD1_PRE	ERR2208943	False
Gide	25_PD1_PRE	ERR2208945	False
Gide	27_PD1_PRE	ERR2208946	False
Gide	29_PD1_PRE	ERR2208948	False
Gide	30_PD1_PRE	ERR3262563	False
Gide	34_PD1_PRE	ERR2208951	False
Gide	35_PD1_PRE	ERR2208952	False
Gide	36_PD1_PRE	ERR2208953	False
Gide	38_PD1_PRE	ERR2208954	False
Gide	40_PD1_PRE	ERR2208956	False
Gide	41_PD1_PRE	ERR2208958	False
Gide	42_PD1_PRE	ERR2208959	False
Gide	44_PD1_PRE	ERR2208960	False
Gide	45_PD1_PRE	ERR2208961	False
Gide	46_PD1_PRE	ERR2208962	False
Gide	47_PD1_PRE	ERR2208964	False
Gide	48_PD1_PRE	ERR2208966	False
Gide	49_PD1_PRE	ERR2208967	False
Gide	50_PD1_PRE	ERR2208969	False
Gide	52_PD1_PRE	ERR2208970	False
Gide	53_PD1_PRE	ERR2208971	False
Gide	54_PD1_PRE	ERR2208972	False
