model,panel,mask_seed,supported,samples,patients,oof_auroc,fold_auroc_mean,fold_auroc_std,fold_f1_mean,fold_balanced_accuracy_mean
BulkFormer_50M,2_cancer,20260723,True,1163,1019,0.9993956660623328,0.9995421328088898,0.0006490881773552,0.996698060024021,0.9830905936108904
BulkFormer_50M,5_cancer,20260723,True,3481,3116,0.9970464381178666,0.9973978199959904,0.0031850662521944,0.995615445913034,0.9635442440311458
BulkFormer_50M,2_cancer,20260724,True,1163,1019,0.9994474661141328,0.9994346403409476,0.0009283752470416,0.9966717895246516,0.984656286917809
BulkFormer_50M,5_cancer,20260724,True,3481,3116,0.995953370953371,0.9959893454585174,0.005787936007722,0.9959283910297172,0.9650949687441196
BulkFormer_50M,2_cancer,20260725,True,1163,1019,0.9994474661141328,0.9994060328267658,0.0008518407897822,0.9976425876764006,0.990041644669106
BulkFormer_50M,5_cancer,20260725,True,3481,3116,0.9954739276167848,0.9954241672279288,0.0060780661812463,0.9960856465650167,0.9667650413394512
BulkFormer_93M,2_cancer,20260723,True,1163,1019,0.9993956660623328,0.9994631438673416,0.0007969083562307,0.9971578153913976,0.9880905936108902
BulkFormer_93M,5_cancer,20260723,True,3481,3116,0.9953545971403114,0.9958102178597072,0.0055211843687575,0.995615445913034,0.9635442440311458
BulkFormer_93M,2_cancer,20260724,True,1163,1019,0.9994129327462662,0.9993919600165772,0.0009253132269047,0.9971537115983204,0.9892017414632636
BulkFormer_93M,5_cancer,20260724,True,3481,3116,0.995978297764012,0.99598942754243,0.0057150603892077,0.9956153777998562,0.9632133504981244
BulkFormer_93M,2_cancer,20260725,True,1163,1019,0.9993697660364328,0.9994060328267658,0.0008518407897822,0.99715832617519,0.9895585528816664
BulkFormer_93M,5_cancer,20260725,True,3481,3116,0.993996351139208,0.9939018920809266,0.0075529846047855,0.9962405624202916,0.9686518337922811
BulkFormer_127M,2_cancer,20260723,True,1163,1019,0.999309332642666,0.9994236493965676,0.0008748336182841,0.9971578153913976,0.9880905936108902
BulkFormer_127M,5_cancer,20260723,True,3481,3116,0.9948184055326912,0.9951765942475268,0.0061606971066199,0.9957732971567927,0.9637017243461063
BulkFormer_127M,2_cancer,20260724,True,1163,1019,0.9994301994301994,0.9993919600165772,0.0009253132269047,0.9976287709807432,0.9896756751125526
BulkFormer_127M,5_cancer,20260724,True,3481,3116,0.9970782595782596,0.9971633564136576,0.0031095090743878,0.996083033409463,0.9683585410607378
BulkFormer_127M,2_cancer,20260725,True,1163,1019,0.9992402659069326,0.9992416961938936,0.0011166084482232,0.9966764041015214,0.985013098336212
BulkFormer_127M,5_cancer,20260725,True,3481,3116,0.993963468963469,0.9938801381000292,0.0075683230962224,0.9960832089557056,0.9670645322049796
BulkFormer_147M,2_cancer,20260723,True,1163,1019,0.9994819994819996,0.9995421328088898,0.0006490881773553,0.9971578153913976,0.9880905936108902
BulkFormer_147M,5_cancer,20260723,True,3481,3116,0.9961087657516228,0.9966055546778676,0.0050843310333252,0.9957691710667592,0.9650367813445786
BulkFormer_147M,2_cancer,20260724,True,1163,1019,0.9992920659587324,0.9993919600165772,0.0009253132269047,0.9966875265096462,0.984656286917809
BulkFormer_147M,5_cancer,20260724,True,3481,3116,0.9958950316093172,0.9959287075350672,0.0057765693717153,0.9959281200079968,0.9666344031297032
BulkFormer_147M,2_cancer,20260725,True,1163,1019,0.9992229992229992,0.9992041375084476,0.0011273115779887,0.99715832617519,0.9895585528816664
BulkFormer_147M,5_cancer,20260725,True,3481,3116,0.9952999702999704,0.9952818488524028,0.0061743549836296,0.9962405624202916,0.9686518337922811
