index,model,panel,gene_symbol,mean,std
10725,Txn_Jatin,2_cancer,ROBO4,0.0030408104641147667,0.003089337687476033
563,Txn_Jatin,2_cancer,ANGPT4,0.003040651035770866,0.0029442465155522517
5129,Txn_Jatin,2_cancer,GPX3,0.0030390476595049663,0.0031034513767145234
11763,Txn_Jatin,2_cancer,SLC6A4,0.0030318802395887666,0.00014917649628153884
11700,Txn_Jatin,2_cancer,SLC39A8,0.0030061995717576666,0.002813101182485673
394,Txn_Jatin,2_cancer,AGRP,0.0030040430983730333,0.0002819665596779063
13432,Txn_Jatin,2_cancer,TRHDE,0.002987604163384733,0.0003113111341270213
4451,Txn_Jatin,2_cancer,FMO2,0.002981148656594512,0.0031026734906511636
9219,Txn_Jatin,2_cancer,PID1,0.0029756961727080665,0.002742749727203252
2287,Txn_Jatin,2_cancer,CHRNA9,0.0029614172119502,0.005129325073506717
7487,Txn_Jatin,2_cancer,MMRN2,0.002873189436938133,0.002675010120386613
3934,Txn_Jatin,2_cancer,ERCC6L,0.002855451539562667,6.441155310375774e-05
7350,Txn_Jatin,2_cancer,MFNG,0.0028545848730070333,0.00020938346334425787
4402,Txn_Jatin,2_cancer,FILIP1,0.0028517019493927,0.0028232493108995846
7031,Txn_Jatin,2_cancer,MAMDC2,0.0028482069134832,0.002833348357917629
9915,Txn_Jatin,2_cancer,PRX,0.002754800416836067,0.00010065442315875833
10559,Txn_Jatin,2_cancer,RHOJ,0.002754510727506741,0.0026616584439936248
4828,Txn_Jatin,2_cancer,GIMAP1,0.0027311095015958996,0.0027242317206729737
2219,Txn_Jatin,2_cancer,CHAF1B,0.0027221353534789,0.0001644404486423995
2978,Txn_Jatin,2_cancer,CYP4B1,0.0027158294690804996,0.0027330117023163054
725,Txn_Jatin,2_cancer,APOBEC1,0.002580920446841433,0.004470285344222732
11092,Txn_Jatin,2_cancer,SCUBE1,0.002577685891328467,0.002336628829909962
10993,Txn_Jatin,2_cancer,SAPCD2,0.0025642707857732,0.0018120529849563732
10543,Txn_Jatin,2_cancer,RHBG,0.0024779803814092,0.004291987920759639
13225,Txn_Jatin,2_cancer,TMOD1,0.00244376088267383,0.00417635608325343
9032,Txn_Jatin,2_cancer,PDLIM2,0.002405086969649733,0.001698943338466817
6222,Txn_Jatin,2_cancer,KCNK3,0.0024032862899235207,0.00409785615533266
1830,Txn_Jatin,2_cancer,CCM2L,0.002335095385129876,0.0020421376240719025
12341,Txn_Jatin,2_cancer,STK11,0.0023332175386553667,0.004041251322061895
12334,Txn_Jatin,2_cancer,STIL,0.0023087693394448004,0.00336450191980445
14046,Txn_Jatin,2_cancer,VIM,0.0023069299839551314,0.003538211299080577
3617,Txn_Jatin,2_cancer,EDA,0.0023017290945174,0.003986711736963643
12827,Txn_Jatin,2_cancer,TFR2,0.002289793816594633,0.003868724976075117
4667,Txn_Jatin,2_cancer,GALNT14,0.0022731861244872334,0.003570703261293074
7836,Txn_Jatin,2_cancer,MYL9,0.002233998433466333,0.0037707579728484385
5037,Txn_Jatin,2_cancer,GPHN,0.0022296791248462,0.0038619175288093287
6227,Txn_Jatin,2_cancer,KCNK9,0.0021969249811981,0.003805185687852409
11283,Txn_Jatin,2_cancer,SF3B4,0.002196607865321633,0.0038046364270424827
3632,Txn_Jatin,2_cancer,EDNRB,0.0021623355849700334,0.0017252444207417645
976,Txn_Jatin,2_cancer,ASPA,0.0021593996396342,0.0018775880169143093
8218,Txn_Jatin,2_cancer,NKAPL,0.0021573323022807665,0.003151379109987237
2531,Txn_Jatin,2_cancer,CNTN6,0.002148342730560467,0.0018862939380574575
5603,Txn_Jatin,2_cancer,HS6ST2,0.002112344642969633,0.0036586882447193453
10050,Txn_Jatin,2_cancer,PTPN21,0.002070615534901233,0.0034989177569533917
3420,Txn_Jatin,2_cancer,DOK2,0.0020660840067222666,0.0012729722938937301
9423,Txn_Jatin,2_cancer,PLK1,0.0020557033557275332,0.003560582657409925
4847,Txn_Jatin,2_cancer,GJA10,0.0020402736432948666,0.003533857611530369
13793,Txn_Jatin,2_cancer,UBE2T,0.0020272969787715,0.0017609166479082513
1797,Txn_Jatin,2_cancer,CCDC85A,0.0020253300439565997,0.0015356811328081233
3870,Txn_Jatin,2_cancer,EPAS1,0.0020133761642883003,0.0014724555537370247
3828,Txn_Jatin,2_cancer,EN2,0.0020110649577373334,0.003254468184227636
8677,Txn_Jatin,2_cancer,OTC,0.0020076207700122,0.0030471283602885955
8359,Txn_Jatin,2_cancer,NPR1,0.0020035746463621666,0.001735668190858951
4058,Txn_Jatin,2_cancer,F11,0.0019984528895591667,0.0017401611997518434
10959,Txn_Jatin,2_cancer,S1PR4,0.001997025575437367,0.0015394979097171444
1728,Txn_Jatin,2_cancer,CCDC141,0.001993935270883677,0.0016531914161341693
11618,Txn_Jatin,2_cancer,SLC2A1,0.0019886057740196327,0.0016987050253062098
8236,Txn_Jatin,2_cancer,NKX3-2,0.001984727744985167,0.0014285495667559014
3938,Txn_Jatin,2_cancer,ERFE,0.0019788693593363,0.003427502271911745
2386,Txn_Jatin,2_cancer,CLDN5,0.0019777555517319335,0.003080527804035682
2282,Txn_Jatin,2_cancer,CHRNA2,0.0019743847995091,0.0031019669127852405
14266,Txn_Jatin,2_cancer,WWC2,0.0019665920776306,0.0014675389648439935
10889,Txn_Jatin,2_cancer,RTKN2,0.001964882271128842,0.003270139438623811
11257,Txn_Jatin,2_cancer,SERTM1,0.0019601408806829666,0.001713728658044935
10312,Txn_Jatin,2_cancer,RASGRP4,0.0019508604965994332,0.0033789894985892695
3174,Txn_Jatin,2_cancer,DES,0.0019501020536361333,0.0014379917361579645
14035,Txn_Jatin,2_cancer,VEGFD,0.0019493937163257127,0.0033033991326102395
11750,Txn_Jatin,2_cancer,SLC5A9,0.0019420490779257333,0.00336372767375966
7868,Txn_Jatin,2_cancer,MYOC,0.001938877007565522,0.0016480566839274546
