term,BRIDGE_OSDR_FT_dynamic,BRIDGE_OSDR_last3_dynamic,BRIDGE_OSDR_original_dynamic,BulkFormer_127M,BulkFormer_147M,BulkFormer_37M,BulkFormer_50M,BulkFormer_93M,ESM2_PCA512_prior,ESM3,Geneformer,Txn_Jatin_OSDR_dynamic,scGPT
negative regulation of transcription by RNA polymerase II (GO:0000122),0.09280074203052543,0.0946544961044105,0.09383034895383267,0.06630005957655727,0.08010055395683115,0.0668659289299854,0.07245688663263988,0.07092085826028774,0.23065447692739177,0.24115109278950503,0.10484512540759255,0.07984241510470078,0.0881294374535528
"negative regulation of transcription, DNA-templated (GO:0045892)",0.1346125247223395,0.13822862320502222,0.13965076615581,0.1010837223070994,0.11464626403884387,0.08155527153863384,0.08989683950285175,0.09186707346332232,0.2794912374595416,0.26374775855055843,0.1404675291704295,0.10863517122984168,0.1359653066167798
nervous system development (GO:0007399),0.06757918201917698,0.0674068009165634,0.06401189010279787,0.055540848023127476,0.058089161276584214,0.05908203834713301,0.05534949159767172,0.053043115237688065,0.09043867223237553,0.11063539193185525,0.0595437306414805,0.05840476164421114,0.056842100548315094
neutrophil activation involved in immune response (GO:0002283),0.134171264921758,0.13600003997805035,0.1350833324317356,0.11777550953789452,0.14006614937570716,0.12966328038116628,0.13511109225254841,0.1330982464168029,0.09735087068243947,0.09833389928072282,0.17125361372436887,0.1441181604535264,0.18498292153280269
neutrophil degranulation (GO:0043312),0.13723918440057947,0.14076032356322796,0.13749035667905132,0.11553240795553758,0.13603331760545373,0.1308712347100199,0.13042409817950482,0.12912178301036384,0.09022489356886132,0.10155984130236974,0.15848652433154176,0.14196256638511875,0.19666036378677923
neutrophil mediated immunity (GO:0002446),0.13245228984418767,0.14144855590781696,0.13886669544087385,0.11950249393032607,0.13416133231525199,0.12821212595968368,0.13430534510528913,0.13185056428009878,0.10719933589719238,0.0942060882220482,0.175861531200009,0.15840101184262093,0.19341956626296783
organelle assembly (GO:0070925),0.0578060599810691,0.05696767415174772,0.053042739274611006,0.0431575277296846,0.04406251140811178,0.03743349549795232,0.04301693758786969,0.04135346796158729,0.11340114412441367,0.12386404622640189,0.047818151022561865,0.04207750508204544,0.048916193145641586
organelle organization (GO:0006996),0.03877254085161893,0.03625674050513136,0.03683039763737073,0.03961748847299877,0.038453510910365925,0.037962529317116224,0.03797085438597747,0.039028412139180804,0.08159134107239911,0.09511948026885654,0.03377988136652275,0.03244146168311402,0.03488102695824881
phosphorylation (GO:0016310),0.04673871978786334,0.048401184077540946,0.04888016748102783,0.04933185533752117,0.06216242539392071,0.058635793164025465,0.05668979661596745,0.05181037244499233,0.5738047537342622,0.622572549655948,0.04669354565662206,0.03719771805215583,0.04660529981864564
positive regulation of cell population proliferation (GO:0008284),0.05256569236287369,0.05339191774957775,0.05485862010777503,0.053455571537985455,0.051412615229409445,0.05373319833727093,0.05046690029843255,0.045379407292447604,0.11811363513959831,0.14239868567803854,0.049932531842836185,0.04897463180172896,0.048068944127606816
positive regulation of cellular process (GO:0048522),0.06172048463862765,0.06615311574746643,0.06583674005406955,0.0595813202644872,0.06121145201463512,0.06237857193405208,0.06130367516389584,0.05897605931433447,0.09646630731680489,0.10431545576989669,0.04945258505954288,0.06122939466546863,0.051686201946488944
