term,BRIDGE_OSDR_FT_dynamic,BRIDGE_OSDR_last3_dynamic,BRIDGE_OSDR_original_dynamic,BulkFormer_127M,BulkFormer_147M,BulkFormer_37M,BulkFormer_50M,BulkFormer_93M,ESM2_PCA512_prior,ESM3,Geneformer,Txn_Jatin_OSDR_dynamic,scGPT
nervous system development (GO:0007399),0.6741550737793165,0.6780748921130166,0.6793268133708488,0.6713801374690263,0.6880271889709488,0.6837828332823599,0.6718026024728982,0.6633541067077026,0.7207584744851043,0.7349244238057924,0.6263751883561471,0.6442708066317447,0.6636497746093966
neutrophil activation involved in immune response (GO:0002283),0.7924535475860465,0.8003362556002661,0.7973839544348741,0.8044881415872642,0.8169563851148026,0.8107792519053884,0.8111625132485074,0.8089323966616424,0.7243534994700598,0.7437675293064971,0.8187614052868343,0.7906060162615135,0.8224975129708627
neutrophil degranulation (GO:0043312),0.7872715012198055,0.7988392519671511,0.7912603511665465,0.7998263659185766,0.8182864781922122,0.8105287892352024,0.8145350026032225,0.810882543975559,0.7270188291169147,0.7494797850752012,0.8145764611895681,0.7983399477717074,0.8381898526948561
neutrophil mediated immunity (GO:0002446),0.785754506645977,0.7891496513260261,0.787455723772119,0.804927828533173,0.8185356326541653,0.8118985711097737,0.8131938832610887,0.8117662821128369,0.7461503056594332,0.7612047301135404,0.8129478861085685,0.796596424771192,0.8357274542615283
organelle assembly (GO:0070925),0.6838835877862596,0.688112731733915,0.6875592966194111,0.6211853499989093,0.6492603378196599,0.6283129376349715,0.6618674515920279,0.6157771724509014,0.7985202211897128,0.7863125686218907,0.6592448200654308,0.6144536077789895,0.652824444371599
organelle organization (GO:0006996),0.5852427320231428,0.585353845633135,0.5828986579301828,0.6278815726559074,0.641584040668004,0.6266174900834325,0.6316101262902228,0.6300106476017953,0.7360857937028822,0.7562227003485136,0.6009983747129473,0.594525951262765,0.6062038192486758
phosphorylation (GO:0016310),0.6506310226308671,0.6483379482452085,0.6428357230916178,0.6515912132082147,0.6862344078707889,0.6650467144378118,0.6724114801136801,0.6617595287370268,0.9360374501624366,0.9330051132100946,0.641182129398085,0.5928966382196721,0.6401150875655094
positive regulation of cell population proliferation (GO:0008284),0.6406517278866486,0.651121192723594,0.652406434935532,0.6602461698105401,0.6482118069819423,0.6420951121148952,0.6481074894314752,0.6424225751022636,0.7311905358098424,0.7437596241273946,0.6170066433425905,0.6293708871219926,0.6124605607896701
positive regulation of cellular process (GO:0048522),0.6130840333391365,0.620047519392216,0.6211398427828072,0.6269590197434607,0.6283689214614611,0.6231464810497601,0.6222955219296549,0.6284423790338183,0.661507355430661,0.66417827880746,0.5603012986981585,0.6032679329638657,0.5863993569739494
positive regulation of gene expression (GO:0010628),0.6107739559851736,0.6119494645302612,0.6174400650016624,0.6184950448143234,0.6193080766638027,0.6155016269331484,0.6058389520699563,0.6112981286163061,0.693831294731967,0.7056349405847221,0.5909017763605136,0.5616425283343922,0.6265085428038345
positive regulation of intracellular signal transduction (GO:1902533),0.6075718817855749,0.6216970971116105,0.615378335180218,0.6209838747322469,0.6419335336792431,0.634063557806378,0.6464303544769163,0.6322248477725558,0.730454362150091,0.7364657752378533,0.5836738850512813,0.5920247378977274,0.6158068981643544
positive regulation of macromolecule metabolic process (GO:0010604),0.6377694074414331,0.6395435920992191,0.6343258919001684,0.62254288082606,0.626985634068753,0.6265367523160167,0.6095382962046214,0.608690762371262,0.7017411074491093,0.7109662155225368,0.5731368549992344,0.5844429337008116,0.629656322406487
positive regulation of nucleic acid-templated transcription (GO:1903508),0.6634992942836979,0.6667715243472124,0.6611707833450953,0.6285706798928841,0.6826779808043862,0.630679419981338,0.6200479325683133,0.6485845211189865,0.823574127847474,0.8185781228163542,0.7006771347918137,0.6217113620324629,0.6778891233419556
positive regulation of protein phosphorylation (GO:0001934),0.6260398174590923,0.6228660948595245,0.630018668956468,0.6282293293011245,0.6460192874415481,0.6346661558859119,0.6367861533384411,0.6234618680294348,0.7565182443294651,0.7685579385557771,0.6094442246835442,0.6012612399660389,0.6094979244527883
positive regulation of transcription by RNA polymerase II (GO:0045944),0.7005556229751713,0.695985801940968,0.7021505491967764,0.6396095306310766,0.6768103976033202,0.6211294217566358,0.6260881580199387,0.6374128062669789,0.8395806363361583,0.8452514361878048,0.7022392358609545,0.6694090918168119,0.6819674429167374
"positive regulation of transcription, DNA-templated (GO:0045893)",0.704154391160482,0.7038720210091189,0.7085026559122306,0.6259962033148075,0.648907122583046,0.6130777239875675,0.6141043645630258,0.6312693140008149,0.8319258326119251,0.8244676983174909,0.7060589274662081,0.6612338844506572,0.6979500534378282
protein modification by small protein conjugation (GO:0032446),0.6385099374200814,0.6392065064727209,0.6344880314242406,0.6639150535331647,0.6724314788801411,0.6461221274850362,0.6731228304518952,0.6619077867191291,0.9181787713688012,0.9182745974879521,0.6885298376648121,0.6114891552739278,0.6498683006357692
protein phosphorylation (GO:0006468),0.6299787881079641,0.6246239386551191,0.6285891853820584,0.6444691622078929,0.6852410653718142,0.6493648230397759,0.6700685131807902,0.6474717701510995,0.9329255188229009,0.9321098612155708,0.6350527330482787,0.6034612649311982,0.6318013488813193
protein ubiquitination (GO:0016567),0.666961175988527,0.6695292606901396,0.6674569028594842,0.6623328722913786,0.6609985949197568,0.6586855181599303,0.6939952944448103,0.6835038456753533,0.9359962165287201,0.9341932131696999,0.7060070755407264,0.657291758129189,0.6517423659225045
regulation of apoptotic process (GO:0042981),0.5963220484168449,0.5960637840869044,0.5976437238423764,0.6443240909684982,0.6563405288143407,0.6452892599830609,0.6432944744427671,0.6497859210617039,0.6777665605662531,0.6521177374987265,0.57808399507137,0.5957511144723202,0.5984013349788586
regulation of cell migration (GO:0030334),0.6597671372853793,0.6616785068622208,0.6645719650296309,0.682723586263258,0.7088528434629666,0.7002742640396539,0.707784213050971,0.6844284648320216,0.7563769165171353,0.7725482793540249,0.6063701248451475,0.6695920086706322,0.6605776487172459
regulation of cell population proliferation (GO:0042127),0.607626071344938,0.6221387245336041,0.6186648349075013,0.6245159781020435,0.6376523749474569,0.6170178296202886,0.6142183465441662,0.6248991673172001,0.685912323104946,0.7013518585239897,0.5476658496604481,0.5970752634454766,0.5938789721931439
regulation of cellular macromolecule biosynthetic process (GO:2000112),0.6669025263823922,0.6606562455276103,0.6507939198095798,0.615460820596849,0.6034164853895339,0.5696732773963895,0.5840358410788109,0.5890405024907949,0.7912946954073321,0.786607151265173,0.6770193075422382,0.6437579090683117,0.6424434840362803
regulation of gene expression (GO:0010468),0.6398426220702094,0.6430842356273538,0.6397758740307089,0.6219856997098492,0.625538951152632,0.5905851939387176,0.6045828284921724,0.6138759246564424,0.7580032103912254,0.7584230422791187,0.6382474933620569,0.5985180141999978,0.6406216377131237
regulation of intracellular signal transduction (GO:1902531),0.5892234191120733,0.5884986808721244,0.5910364679298316,0.6197914744565837,0.6228102090229496,0.5970916976475892,0.6278566763955054,0.610435824162071,0.8050410119489821,0.7937595169061972,0.6139641858185532,0.6404089095878016,0.6050395684204942
regulation of transcription by RNA polymerase II (GO:0006357),0.7596462186230767,0.761574500534157,0.7635830363909301,0.633806017887447,0.6756966202023889,0.6168277071511095,0.6340906248566225,0.6343438396995611,0.8885111444575235,0.8889648701890653,0.7652293639260701,0.720373661473827,0.7362512569496509
"regulation of transcription, DNA-templated (GO:0006355)",0.7569575247782551,0.7595610465479857,0.7577740673404577,0.63170371228927,0.6729082195193374,0.617733214133961,0.6395573106544837,0.6356166495351726,0.8952006844096421,0.8938195003918915,0.7758088961809027,0.7227847950144457,0.7440696110940188
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169),0.6323170712329783,0.6399353823826952,0.6425760183895384,0.6341341705102373,0.6476423780971672,0.6543210478215976,0.664847702640595,0.6424925196313986,0.839105063766156,0.8621762347508228,0.6308232390375152,0.6240453806348416,0.6441982266288434
