cohort	evaluation_sample_id	archive_accession
Gide	10_ipiPD1_PRE	ERR2208889
Gide	12_ipiPD1_PRE	ERR2208890
Gide	13_ipiPD1_PRE	ERR2208892
Gide	14_ipiPD1_PRE	ERR2208893
Gide	15_ipiPD1_PRE	ERR2208894
Gide	17_ipiPD1_PRE	ERR2208895
Gide	19_ipiPD1_PRE	ERR2208897
Gide	20_ipiPD1_PRE	ERR2208899
Gide	21_ipiPD1_PRE	ERR2208900
Gide	23_ipiPD1_PRE	ERR2208901
Gide	24_ipiPD1_PRE	ERR2208902
Gide	25_ipiPD1_PRE	ERR2208903
Gide	26_ipiPD1_PRE	ERR2208904
Gide	27_ipiPD1_PRE	ERR2208906
Gide	32_ipiPD1_PRE	ERR2208907
Gide	33_ipiPD1_PRE	ERR2208909
Gide	34_ipiPD1_PRE	ERR2208910
Gide	35_ipiPD1_PRE	ERR2208912
Gide	36_ipiPD1_PRE	ERR2208914
Gide	37_ipiPD1_PRE	ERR2208915
Gide	38_ipiPD1_PRE	ERR2208916
Gide	44_ipiPD1_PRE	ERR2208918
Gide	45_ipiPD1_PRE	ERR2208919
Gide	46_ipiPD1_PRE	ERR2208920
Gide	47_ipiPD1_PRE	ERR2208921
Gide	49_ipiPD1_PRE	ERR2208922
Gide	50_ipiPD1_PRE	ERR2208923
Gide	2_PD1_PRE	ERR2208941
Gide	3_PD1_PRE	ERR2208949
Gide	4_PD1_PRE	ERR3262564
Gide	5_PD1_PRE	ERR2208968
Gide	6_PD1_PRE	ERR2208973
Gide	7_PD1_PRE	ERR2208974
Gide	8_PD1_PRE	ERR3262565
Gide	9_PD1_PRE	ERR2208977
Gide	10_PD1_PRE	ERR2208929
Gide	11_PD1_PRE	ERR2208930
Gide	12_PD1_PRE	ERR2208931
Gide	13_PD1_PRE	ERR2208933
Gide	14_PD1_PRE	ERR2208934
Gide	15_PD1_PRE	ERR2208935
Gide	16_PD1_PRE	ERR2208936
Gide	17_PD1_PRE	ERR2208938
Gide	18_PD1_PRE	ERR2208939
Gide	19_PD1_PRE	ERR2208940
Gide	21_PD1_PRE	ERR2208942
Gide	23_PD1_PRE	ERR2208943
Gide	25_PD1_PRE	ERR2208945
Gide	27_PD1_PRE	ERR2208946
Gide	29_PD1_PRE	ERR2208948
Gide	30_PD1_PRE	ERR3262563
Gide	34_PD1_PRE	ERR2208951
Gide	35_PD1_PRE	ERR2208952
Gide	36_PD1_PRE	ERR2208953
Gide	38_PD1_PRE	ERR2208954
Gide	40_PD1_PRE	ERR2208956
Gide	41_PD1_PRE	ERR2208958
Gide	42_PD1_PRE	ERR2208959
Gide	44_PD1_PRE	ERR2208960
Gide	45_PD1_PRE	ERR2208961
Gide	46_PD1_PRE	ERR2208962
Gide	47_PD1_PRE	ERR2208964
Gide	48_PD1_PRE	ERR2208966
Gide	49_PD1_PRE	ERR2208967
Gide	50_PD1_PRE	ERR2208969
Gide	52_PD1_PRE	ERR2208970
Gide	53_PD1_PRE	ERR2208971
Gide	54_PD1_PRE	ERR2208972
