token_id,gene_symbol
697,AOC2
698,AOC3
699,AOPEP
700,AOX1
701,AP1AR
702,AP1B1
703,AP1G1
704,AP1G2
705,AP1M1
706,AP1M2
707,AP1S1
708,AP1S2
709,AP1S3
710,AP2A1
711,AP2A2
712,AP2B1
713,AP2M1
714,AP2S1
715,AP3B1
716,AP3B2
717,AP3D1
718,AP3M1
719,AP3M2
720,AP3S1
721,AP3S2
722,AP4B1
723,AP4E1
724,AP4M1
725,AP4S1
726,AP5B1
727,AP5M1
728,AP5S1
729,AP5Z1
730,APAF1
731,APBA1
732,APBA2
733,APBA3
734,APBB1
735,APBB1IP
736,APBB2
737,APBB3
738,APC
739,APC2
740,APCDD1
741,APCS
742,APEH
743,APELA
744,APEX1
745,APEX2
746,APH1A
747,API5
748,APIP
749,APLF
750,APLN
751,APLNR
752,APLP1
753,APLP2
754,APMAP
755,APOA1
756,APOA2
757,APOA4
758,APOA5
759,APOB
760,APOBEC1
761,APOBEC2
762,APOBEC4
763,APOBR
764,APOC1
765,APOC2
766,APOC3
767,APOC4
768,APOD
769,APOE
770,APOF
771,APOH
772,APOL6
773,APOLD1
774,APOM
775,APOO
776,APOOL
777,APP
778,APPBP2
779,APPL1
780,APPL2
781,APRT
782,APTX
783,AQP1
784,AQP11
785,AQP2
786,AQP3
787,AQP4
788,AQP5
789,AQP6
790,AQP8
791,AQP9
792,AQR
793,AR
794,ARAF
795,ARAP1
796,ARAP2
797,ARAP3
798,ARC
799,ARCN1
800,AREG
801,AREL1
802,ARF1
803,ARF3
804,ARF4
805,ARF5
806,ARF6
807,ARFGAP1
808,ARFGAP2
809,ARFGAP3
810,ARFGEF1
811,ARFGEF2
812,ARFGEF3
813,ARFIP1
814,ARFIP2
815,ARFRP1
816,ARG1
817,ARG2
818,ARGLU1
819,ARHGAP1
820,ARHGAP10
821,ARHGAP11A
822,ARHGAP12
823,ARHGAP15
824,ARHGAP17
825,ARHGAP18
826,ARHGAP19
827,ARHGAP20
828,ARHGAP21
829,ARHGAP22
830,ARHGAP23
