index,model,panel,gene_symbol,mean,std
23450,BRIDGE,5_cancer,PBX2,1.041052201480342e-06,1.803155306295384e-06
26448,BRIDGE,5_cancer,SMDT1,1.040862181049359e-06,1.6572115621337001e-06
27235,BRIDGE,5_cancer,TBC1D8,1.0327317589060543e-06,1.7887438770152584e-06
26808,BRIDGE,5_cancer,SRPX2,1.0294038491411e-06,1.7829797682193532e-06
18617,BRIDGE,5_cancer,EXOC8,1.0274164804488904e-06,1.7795375446699002e-06
25731,BRIDGE,5_cancer,SEC24C,1.0113439398296184e-06,1.7516990877117805e-06
24752,BRIDGE,5_cancer,RAB27B,1.0043957985622855e-06,1.73966455401846e-06
15500,BRIDGE,5_cancer,ARRDC3,1.0039583109476346e-06,1.7389068032386007e-06
26009,BRIDGE,5_cancer,SIN3B,1.0003281098651393e-06,1.732619110525763e-06
27251,BRIDGE,5_cancer,TBL3,9.96278315085225e-07,1.7256046602067241e-06
16655,BRIDGE,5_cancer,CEACAM19,9.933035567444414e-07,1.7204522276161427e-06
19899,BRIDGE,5_cancer,HAS1,9.875098199032927e-07,1.7104171810456944e-06
23460,BRIDGE,5_cancer,PCBP4,9.869318574519377e-07,1.7094161207150806e-06
19523,BRIDGE,5_cancer,GNAI3,9.867753265049387e-07,1.7091450011619217e-06
18315,BRIDGE,5_cancer,EIF3K,9.859788247740814e-07,1.70776541969576e-06
25346,BRIDGE,5_cancer,RPL13,9.811117627946125e-07,1.6993354210637335e-06
16370,BRIDGE,5_cancer,CCDC66,9.753565043684064e-07,1.6893670210588552e-06
21371,BRIDGE,5_cancer,LRIF1,9.666350249514236e-07,1.674260975591475e-06
23122,BRIDGE,5_cancer,NUPR1,9.486448473473165e-07,1.643101073943303e-06
28793,BRIDGE,5_cancer,WDR90,8.949181485874499e-07,1.5500437019689373e-06
21583,BRIDGE,5_cancer,MAEL,8.613002554225034e-07,1.4918158029638273e-06
25036,BRIDGE,5_cancer,REM1,8.198557864747766e-07,1.4200318770536537e-06
21803,BRIDGE,5_cancer,MCOLN1,8.015238257120742e-07,1.3882799896055242e-06
17899,BRIDGE,5_cancer,DNAAF1,7.819932803989542e-07,1.0644933499569328e-06
22753,BRIDGE,5_cancer,NGB,7.733310169513461e-07,1.1946514118027727e-06
15150,BRIDGE,5_cancer,ANGPTL2,7.716349506031653e-07,1.3365109393405833e-06
24621,BRIDGE,5_cancer,PTOV1,7.681857086840506e-07,1.213088387194002e-06
19305,BRIDGE,5_cancer,GATD1,7.654571162066112e-07,1.32581061628389e-06
