method,scope,n,macro_auroc,auroc_ci_low,auroc_ci_high,macro_auprc,auprc_ci_low,auprc_ci_high,macro_brier,bootstrap_replicates
Txn_Jatin_OSDR_LoRA__completed__training_domain_CORAL,full,239,0.6506896096302628,0.5660378660868868,0.732023737656986,0.5143997447918128,0.46562365801352473,0.6237928317841712,0.2686926152198211,2000
Txn_Jatin_OSDR_LoRA__completed__unadapted,full,239,0.6489055722370958,0.5691753309128226,0.7302497455733651,0.5087482377946215,0.4562533153913259,0.6196050066034863,0.27034153886515483,2000
Txn_Jatin__completed__DANN,full,239,0.5556204556663962,0.46453860052966306,0.646666795032565,0.46629686326211395,0.4110961702307068,0.5784915187779192,0.34542284390388484,2000
Txn_Jatin__completed__project_out,full,239,0.620584678644109,0.5272825961921612,0.7036886208738499,0.4812680007530197,0.42598294479703164,0.5932520388031327,0.2512274539670597,2000
Txn_Jatin__completed__training_domain_CORAL,full,239,0.6749909013889551,0.5874149843728079,0.7616847916829385,0.5564927964979398,0.49610671732047634,0.6639208358828291,0.33261856683583746,2000
Txn_Jatin__completed__unadapted,full,239,0.63366774457862,0.5422716592142127,0.7170795119618938,0.5112289190794967,0.4491537436602623,0.6203958908623901,0.26297975132381174,2000
BRIDGE__completed__DANN,overlap_clean_evaluable_cohorts,213,0.5871210011913318,0.48837321490042424,0.6779737221446,0.4172223597556289,0.3512353510439361,0.5426625754574548,0.32383501023854105,2000
BRIDGE__completed__project_out,overlap_clean_evaluable_cohorts,213,0.6634240838049726,0.5682915280857352,0.7473148025105718,0.4413993399456662,0.3786697014015027,0.5711837617759766,0.2512899979454059,2000
BRIDGE__completed__training_domain_CORAL,overlap_clean_evaluable_cohorts,213,0.6692687398542727,0.5829610315483602,0.7555486296729407,0.4580693141951156,0.3913186036521741,0.5850784612160126,0.2633585741164745,2000
BRIDGE__completed__unadapted,overlap_clean_evaluable_cohorts,213,0.6847652941037504,0.595311289262488,0.7725329156077986,0.47517686858299174,0.40649049725619485,0.6026797931011512,0.2636670447977364,2000
BulkFormer_127M__completed__DANN,overlap_clean_evaluable_cohorts,213,0.5915844883853572,0.5002043583597416,0.6852748258141049,0.42230439881958665,0.36031339568259996,0.544394795109491,0.30682910407708713,2000
BulkFormer_127M__completed__project_out,overlap_clean_evaluable_cohorts,213,0.6544765648465949,0.5647020488884839,0.7399373896836727,0.4199877134558401,0.3685959252424038,0.5532705680263167,0.2533733251768762,2000
BulkFormer_127M__completed__training_domain_CORAL,overlap_clean_evaluable_cohorts,213,0.6675254465807422,0.5734696298939951,0.7521191165328526,0.44360524295852066,0.3892277463070739,0.5781075581851465,0.2669262026134182,2000
BulkFormer_127M__completed__unadapted,overlap_clean_evaluable_cohorts,213,0.6713134941125252,0.5830512367662594,0.7587816500285176,0.47279099993351226,0.4070088302622517,0.6029052209240618,0.27153883892816594,2000
