replicate,macro_auroc,macro_auprc
364,0.5977057126802366,0.4710121396717551
365,0.5152695710987976,0.4016190856226933
366,0.42908891037963043,0.36871389670275084
367,0.5094359512021557,0.4271919114346214
368,0.5452929942593324,0.46552730991785046
369,0.44861862473477077,0.4060920364469117
370,0.5580528538451192,0.4071254769306772
371,0.5155407937785569,0.41750744420024477
372,0.5632654359088957,0.49928817243704754
373,0.5276265832396805,0.4446197222200169
374,0.43447885433977984,0.395782724833056
375,0.41171648438709085,0.3859928487863758
376,0.5008524128449788,0.40424892518191535
377,0.5456591082656068,0.44662628225787243
378,0.5014897088516785,0.38937227464829294
379,0.586005368948904,0.49167088623955146
380,0.450182867166245,0.38341226284295005
381,0.5143680854172,0.4061608559415415
382,0.5202033641266852,0.42206023301737705
383,0.5522424889677646,0.41694823219555976
384,0.5540632643194872,0.44981704804249956
385,0.4822392536047314,0.41238295587185164
386,0.4864445113996149,0.41171737933732405
387,0.43357792008915463,0.37334834270608375
388,0.4381148229346108,0.3778513740509317
389,0.5794298077187319,0.4631201698523705
390,0.4473311012130758,0.38203755820933394
391,0.4694297245520934,0.3958432884822669
392,0.46073644691148036,0.3851188550205814
393,0.5348933134745864,0.44470404373656536
394,0.5368390557404507,0.4140236649593087
395,0.5537180368912745,0.4411441029710875
396,0.516089336518254,0.4453474755538597
397,0.5020706278213378,0.38609675038723845
398,0.43061606681824693,0.3488083427205578
399,0.5593785752614686,0.4311748490653803
400,0.5222830498797337,0.42767631575645126
401,0.502038798502422,0.4461328714212184
402,0.4532204608371916,0.36486992695089
403,0.5012086191734538,0.3851149863888648
404,0.4902089046519802,0.3700001290803377
405,0.5625538594382564,0.40967589814195393
406,0.5444470720280945,0.42604577654942155
407,0.502860728966434,0.4132441958841787
408,0.494669348429163,0.4118943978688455
409,0.44680310605699014,0.36876404100405313
410,0.47584041696136586,0.4152259097997084
411,0.5850585619692703,0.47061967034331076
412,0.45775495004216193,0.35564931972223324
413,0.5077154052095583,0.41313711672156683
414,0.5032505861440041,0.4481205782302652
415,0.509208237330105,0.4298227060318363
416,0.48311887640425066,0.383562292187373
417,0.4441858881039887,0.41615414343675927
418,0.49219299848998316,0.394007887594442
419,0.4235842371377369,0.34261275492965376
420,0.5729483965472104,0.43881786394606015
421,0.4010993183228399,0.33472323999800085
422,0.5055019658062174,0.3915803547606124
423,0.5350529889005081,0.4336450995467048
424,0.46366343799312393,0.3655066636089318
425,0.4927976832305683,0.41552190701484487
426,0.4610119454412388,0.36823816969332696
427,0.49106301246921025,0.37954240579285337
428,0.4620885330562076,0.38752333115584264
429,0.5219086734487253,0.4618939198413697
430,0.5154244418433777,0.43371721616171455
431,0.5246846854420777,0.4150763161963761
432,0.6363552835403822,0.5046621626711523
433,0.47167456388137985,0.3948095359991518
434,0.49732988083305485,0.41355319655402156
435,0.5089472929620774,0.4435570576848441
436,0.44292996790490946,0.3864570288136341
437,0.4769295112115861,0.379222843102735
438,0.45730921301941185,0.3699847999194784
439,0.6098682098055637,0.46148163327725755
440,0.529608864587356,0.4097493396966738
441,0.4986825500482366,0.44709684720788295
442,0.44502811303575585,0.3976238449571545
443,0.4613876236109363,0.37526377991912424
444,0.5608353564522125,0.46905082706091106
445,0.4953884098972639,0.3854635005847028
446,0.48723249269941554,0.35769939454154714
447,0.5042733143207165,0.4260080922166608
448,0.40803674482884306,0.3540915588071644
449,0.47082022554792347,0.4125890776323395
450,0.4878725684606072,0.3907799980868913
451,0.5886305645713014,0.45333081259015806
452,0.530458832152367,0.429768102750968
453,0.4943163557680764,0.4039818323333557
454,0.4924361072300013,0.3672215088973777
455,0.5167834570346682,0.4116044865104309
456,0.563763658312397,0.44729306910034705
457,0.45566163671221305,0.34836067546378746
458,0.48149959031390704,0.3760139824001237
459,0.38670796432657445,0.3325883199236508
460,0.5234911809011793,0.4328521687761696
461,0.5391404122244834,0.4368616745275521
462,0.5061954264134351,0.4273494494860943
463,0.3932121740048569,0.3337290150332939
464,0.4603980355316807,0.3747666901515258
465,0.4299591995319526,0.3615050214896723
466,0.4794899136947249,0.387262873368744
467,0.5225468418011434,0.42440679692138616
468,0.5151891887347534,0.3866338216957973
469,0.5090490500561917,0.3698710991217437
470,0.5259855020661486,0.43010804220504745
471,0.5029802041704814,0.3960871788423679
472,0.4932761716371389,0.4548427081693628
473,0.450425636911813,0.39523926052220537
474,0.49410094513460706,0.4255970792122737
475,0.5227982039260439,0.46963464541533567
476,0.47049390497018295,0.38568232128421376
477,0.48473302785865435,0.4088948896040251
478,0.4946818912238224,0.3782891927380868
479,0.4271774517525019,0.3678446810962108
480,0.5037775869163691,0.411980587759271
481,0.5679338821608284,0.4261116786525632
482,0.5131376350011498,0.39398495007658735
483,0.5037023843875248,0.4069142985645957
484,0.3549888547664608,0.32477579968236353
485,0.5140397308727579,0.4127573121587376
486,0.42500346678324463,0.36230602480390617
487,0.5624350170238493,0.47304154300004075
488,0.5022978851808622,0.38329053911689415
489,0.4881959284868156,0.37790544863786024
490,0.47647036808830995,0.38148718527967007
491,0.5175743536867409,0.4028136238489208
492,0.5362935594308799,0.40840053805334153
493,0.5419171022067364,0.4560683230748763
494,0.42696004783166497,0.38919981547006866
495,0.478830831644689,0.3728671161997342
496,0.5776103476654764,0.4958079486818726
497,0.6166104704266666,0.4532316277687439
498,0.4913691154179377,0.4234607862452794
499,0.42613095328493755,0.34851743421492387
500,0.4830702600801582,0.3868184063908512
501,0.5478979993722727,0.4404533103823791
502,0.49853147604149944,0.40250571536294744
503,0.438666195147986,0.3805101140387564
504,0.5358658840324394,0.4090382226596807
505,0.5624822728502147,0.41661117562795374
506,0.5054027850699251,0.40639309743109964
507,0.48925392112620647,0.3949778552986364
508,0.445211102240003,0.35884271300401593
509,0.48772756471449247,0.4169148459186518
510,0.4992392376945918,0.43047568863445335
511,0.46651375305004605,0.3714989217804258
512,0.47787561760268904,0.3943788216385143
513,0.5606526022841174,0.45318934607798256
514,0.5442791070578825,0.4277621090709211
515,0.5058811378787156,0.4310737554543652
516,0.5173722090360915,0.41725829072744713
517,0.5593815674524829,0.4318951110846565
518,0.526170231441907,0.40807752949037523
519,0.5393234330682126,0.43992187537771876
520,0.4751082251082251,0.4183761479831217
521,0.6114392050064871,0.47979665131655613
522,0.49270163932292227,0.3776831547899566
523,0.4696514811616716,0.411175192970211
524,0.5696825104536848,0.458915551395245
525,0.5032994149046187,0.42867918802544985
526,0.4937161864335686,0.384308386759927
527,0.5966032349291204,0.4809287833561264
528,0.4960635286447599,0.3938397918359493
529,0.5271757793798806,0.4250835677285202
530,0.43056835447935515,0.3530526320433095
531,0.5308753975726912,0.4186627165131415
532,0.5127857271223042,0.3875838716520295
533,0.5861516699137815,0.4848916595733697
534,0.580740301504376,0.4775476623802297
535,0.49485127093087333,0.3907911568637164
536,0.5320068887288232,0.42929881853510315
537,0.5275609267945552,0.4512660212018938
538,0.5477271009700846,0.443547345274918
539,0.4823699020658593,0.39425216617625586
540,0.5924500692814257,0.49556070659183954
541,0.5426737649392595,0.47066772266561774
542,0.5322648725453186,0.40987722717160774
543,0.5139868160990363,0.41637392876893226
544,0.48374886821052876,0.407873138009878
545,0.5758553372371031,0.4800065054282884
546,0.49968886637363086,0.3998009480820111
547,0.5005719378766906,0.40873272082741846
548,0.5643682933337961,0.4261501892934518
549,0.5315909606180655,0.4348043716312335
550,0.4374377334993773,0.3780344653377086
