representation,dimensions_for_geometry,cohort_eta_squared,cancer_eta_squared_marginal,response_eta_squared,response_eta_squared_after_cohort_centering,residual_fraction,identifiability_note
Assay_limited_CYT_Rooney,1,0.3826170656299015,0.3132251231394923,0.06133402251746962,0.0406796727337749,0.5767032616363236,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
Assay_limited_CD8_effector,1,0.2688758487027508,0.21833036292665597,0.08789188912832845,0.06902094633076088,0.6621032049664884,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
Assay_limited_Exhaustion,1,0.11125529424824956,0.06170865668241537,0.0642868336616213,0.05305388788196754,0.8356908178697829,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
Assay_limited_TLS,1,0.02897505826912003,0.0001061854801264475,0.01757194939445931,0.028465223550184146,0.9425597181806958,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
Assay_limited_Proliferation,1,0.010921940103679428,0.00998628226896599,0.003068092280289621,0.007657874433090958,0.9814201854632296,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
Assay_limited_Purity_inverse_immune_stromal,1,0.21621318388868765,0.11420742218185775,0.10652615174895955,0.03759595922631684,0.7461908568849955,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
Harmonized_Txn_Jatin_T_cell_inflamed_GEP_Ayers18,1,0.16396862532914253,0.13576489467997777,0.09981030648806045,0.07092175609442027,0.7651096185764371,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
Harmonized_Txn_Jatin_IFNG_6,1,0.17587169854019774,0.11612164399099081,0.07859643896945578,0.07496986930320752,0.7491584321565947,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
Harmonized_Txn_Jatin_CYT_Rooney,1,0.3753588891073151,0.3081758069106074,0.0632952815148773,0.04231049853930815,0.5823306123533768,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
Harmonized_Txn_Jatin_CD8_effector,1,0.2595197992987572,0.20868150924658233,0.08825960948653216,0.07012400374080614,0.6703561969604366,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
Harmonized_Txn_Jatin_Exhaustion,1,0.10316855074176787,0.0508628717102715,0.0642643952236261,0.05605548102344386,0.8407759682347883,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
Harmonized_Txn_Jatin_TLS,1,0.03127943872901752,0.0010552940678028645,0.016304778239867604,0.028886599298079376,0.9398339619729031,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
Harmonized_Txn_Jatin_Proliferation,1,0.01184278502440012,0.01142380479719228,0.003058349200135134,0.007664143432238918,0.980493071543361,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
Harmonized_Txn_Jatin_Purity_inverse_immune_stromal,1,0.2154102748621452,0.11196427605860013,0.10589898200635157,0.0373170768811613,0.7472726482566936,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
Harmonized_BulkFormer_147M_T_cell_inflamed_GEP_Ayers18,1,0.17017748142347477,0.05360993894715188,0.05780646054741632,0.06783978526100277,0.7619827333155225,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
Harmonized_BulkFormer_147M_IFNG_6,1,0.16977257426609738,0.06377046807056,0.0633369384644315,0.07922150055281822,0.7510059251810844,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
Harmonized_BulkFormer_147M_CYT_Rooney,1,0.33844421121224966,0.1935674860041999,0.04132284454142281,0.0423680689368737,0.6191877198508766,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
Harmonized_BulkFormer_147M_CD8_effector,1,0.2337977618440003,0.13013308114225888,0.07082141961985239,0.0749266092577783,0.6912756288982214,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
Harmonized_BulkFormer_147M_Exhaustion,1,0.15528966505853398,0.00435691194023774,0.028789234969391796,0.055190256886417315,0.7895200780550486,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
Harmonized_BulkFormer_147M_TLS,1,0.10108762620001947,0.01605981787678244,0.006717108220634544,0.031317060567644044,0.8675953132323365,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
Harmonized_BulkFormer_147M_Proliferation,1,0.07917735289749002,0.06140019552300843,3.507115067470122e-05,0.00876258597495569,0.9120600611275542,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
Harmonized_BulkFormer_147M_Purity_inverse_immune_stromal,1,0.12824011115170914,0.06531799326634267,0.09974894362599619,0.04250387681455753,0.8292560120337333,Cancer is confounded with cohort: Rose is BLCA; all other cohorts are SKCM.
